Outdoor Drybulb Temperature (C),Outdoor Relative Humidity (%),Diffuse Solar Radiation (W/m2),Direct Solar Radiation (W/m2),6h Outdoor Drybulb Temperature (C),12h Outdoor Drybulb Temperature (C),24h Outdoor Drybulb Temperature (C),6h Outdoor Relative Humidity (%),12h Outdoor Relative Humidity (%),24h Outdoor Relative Humidity (%),6h Diffuse Solar Radiation (W/m2),12h Diffuse Solar Radiation (W/m2),24h Diffuse Solar Radiation (W/m2),6h Direct Solar Radiation (W/m2),12h Direct Solar Radiation (W/m2),24h Direct Solar Radiation (W/m2)
-0.4358243011979464,0.2889411764705882,-0.4177442006876846,-0.19536679536679538,-0.41355478055784417,1.1557737961673533,-0.09253823606442303,0.23201744203184815,-0.536133677702951,0.5993131099572097,-0.03260227790448304,0.3498614758913308,-0.3607583473366008,0.055066924590382295,1.6790744484156697,-0.20131866355951197
-0.5031374786081004,0.4668235294117647,-0.4177442006876846,-0.19536679536679538,-0.1652191268717576,1.14442799369198,-0.5722549290694987,0.5802557823525337,-0.6344586117954933,0.9035421086300357,0.12893880170334243,0.17146457057187817,-0.3607583473366008,0.3445689817227082,1.3219444641958213,-0.20131866355951197
-0.5225328009127213,0.5727058823529412,-0.4177442006876846,-0.19536679536679538,0.0956534912011756,1.2420374689993177,-0.5553962419460471,-0.07496482489838564,-0.8284733597773417,0.1735817886458818,1.3631131823217286,0.1303594976164784,-0.3607583473366008,0.15345025590724756,1.6191202635870676,-0.20131866355951197
-0.5259555048488305,0.6258823529411762,-0.4177442006876846,-0.19536679536679538,0.28840597867183926,1.451589420463405,-0.20092751305819942,-0.3245940245803365,-0.7950593413884504,0.8810171309787658,1.2869962488269042,0.2742155215045163,-0.3607583473366008,0.6489767407262568,1.375305357405027,-0.20131866355951197
-0.5305191100969768,0.6536470588235294,-0.4177442006876846,-0.19536679536679538,0.6073198738722211,1.3086690596143595,-0.4607269926090559,-0.5461409250123396,-0.7548530291807688,1.0201361566734206,1.4515579130625562,0.08367839155824071,-0.3607583473366008,0.8401880167585413,1.5339422417872661,-0.20131866355951197
-0.5282373074729034,0.6581176470588234,-0.4177442006876846,-0.19536679536679538,0.9086585979514592,1.1917153916776548,-0.37235245705862774,-0.46463043761892975,-0.7927383462986398,1.0201361566734206,0.49502180681746905,0.02061953724310147,-0.3607583473366008,1.471683634319468,0.6708457340308032,-0.20131866355951197
-0.39931545921277806,0.4919999999999998,-0.054917913700421296,0.05143910143910145,0.9633361679299419,0.7213029259434088,-0.4543640791979576,-0.5814745829460324,-0.820785881285099,0.36363087022885615,0.5060562759500135,-0.1357193959316204,0.06098059153549322,1.0880934070277049,0.24445898293384066,0.1552390111513277
-0.17569880205362226,0.21835294117647058,0.16927373399841802,0.27520182520182523,1.1994104745439471,0.579101571468482,-0.12145275530466294,-0.8462067298516538,-0.17644789764115562,0.10427185610109725,0.25267706173103577,-0.40475881362422406,0.9067149478210587,1.4797520587220425,-0.1840802128950648,0.5723741509239237
0.09355390758699375,-0.0595294117647059,0.9951410076355595,0.15103545103545105,1.2650440792884186,0.16464900623084355,0.28241805322483554,-0.9773158555106204,-0.6593800681003618,0.14708993350420693,0.42579046009531824,-0.40475881362422406,0.622868406505893,1.6321370989082067,-0.1840802128950648,1.0014207603402405
0.36280661722760976,-0.29929411764705877,1.3786301192955268,0.5158125658125658,1.2590751504255393,0.040369060847325014,0.5690402250807135,-0.8700967368097372,0.09670717851539118,-0.7410027970447788,0.4680811126795789,-0.40475881362422406,0.6344103329670733,1.328409630400525,-0.1840802128950648,1.4246898812812625
