Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature (C),Average Unmet Cooling Setpoint Difference (C),Indoor Relative Humidity (%),Equipment Electric Power (kWh),DHW Heating (kWh),Cooling Load (kWh),Heating Load (kWh),Solar Generation (W/kW),Occupant Count (people),Temperature Set Point (C),HVAC Mode (Off/Cooling/Heating)
0.0,-1.0,0.25,0.0,-0.6370339393290946,-194.51147034374887,0.5379731748359174,-0.2775549465708508,0.2547810471930843,-0.8805035871654908,0.0,-0.08488895004324681,0.0,-0.5751633986928065,0.0
0.0,-0.9130434782608695,0.25,0.0,-1.0460088714850406,19.695753415606223,1.0169645086664778,-0.3452676086858035,0.7290749796499278,-0.7201896343228121,0.0,-0.08488895004324681,0.0,-1.0457516339869208,0.0
0.0,-0.8260869565217391,0.25,0.0,-1.0515389462953417,1.308747598357833,1.0362746646598062,-0.38159181035088735,0.26083086134913214,-0.7253436552555758,0.0,-0.08488895004324681,0.0,-1.0457516339869226,0.0
0.0,-0.7391304347826086,0.25,0.0,-1.0519223148846277,0.034081210803473226,1.0766811967420564,-0.404119579074815,0.0,-0.7807133372904802,0.0,-0.08488895004324681,0.0,-1.0457516339869226,0.0
0.0,-0.6521739130434783,0.25,0.0,-1.0519291902017054,0.011221394356445463,1.1326091430772025,-0.32495129830588987,0.0,-0.8602654635591317,0.0,-0.08488895004324681,0.0,-1.0457516339869226,0.0
0.0,-0.5652173913043478,0.25,0.0,-1.0519286904602223,0.012882990237103074,1.2377856937420626,-0.3348106006703592,1.5320792546525228,-0.7814579020666779,0.0,-0.08488895004324681,0.0,-1.0457516339869226,0.0
0.0,-0.4782608695652174,0.25,0.0,-1.0519314504724473,0.003706195609992703,1.2662009973529522,0.020384049130669796,4.1446989739563085,-0.825730559638846,0.0,-0.024866362310780946,-1.0,-1.0457516339869226,0.0
0.0,-0.391304347826087,0.25,0.0,-0.9997043232046936,-1.236019708439945,1.248626945416705,-0.014599078161981584,0.0,-0.7888018959066668,0.0,0.1314522532205361,-1.0,-0.9934640522875748,0.0
0.0,-0.30434782608695654,0.25,0.0,-0.7917668000993007,-9.423365110824044,0.978496524764548,0.27497783186304636,15.168315907699489,0.44886378098419427,0.0,0.44108047294236347,-1.0,-0.7843137254901873,0.0
0.0,-0.21739130434782608,0.25,0.0,-0.5574383786419685,-104.75359463238901,0.7037192887551291,-0.025173999485189218,0.9855722318704835,-0.2676403614758866,0.0,0.8668059647146422,-2.0,-0.5228758169934621,0.0
0.0,-0.13043478260869565,0.25,0.0,-0.01771367925449616,-59.11976558539249,0.12878268689677982,-0.03867598418955079,0.0,-0.6359224683836144,0.0,1.2536650554111626,-2.0,-8.359326303059974e-15,0.0
0.0,-0.043478260869565216,0.25,0.0,4.2771323887044725e-06,-0.20913990116666203,0.1014403351160039,-0.03314763830382914,7.578624279801124,0.07930458519591713,0.0,1.5001432188154642,-2.0,-3.3437305212239898e-15,0.0
0.0,0.043478260869565216,0.25,0.0,6.685301185704398e-05,-0.0010806796895447709,0.07599956385838554,-0.011691368190449362,1.0363647567861347,0.002464012515482088,0.0,1.5353711528333303,-2.0,0.0,0.0
0.0,0.13043478260869565,0.25,0.0,6.716993590641333e-05,-2.6935480225393528e-05,0.03480866818022793,-0.28161343395903005,0.0,0.21311117088376685,0.0,1.5433319723038517,-3.0,1.6718652606119949e-15,0.0
0.0,0.21739130434782608,0.25,0.0,7.055402499676936e-05,0.011224859102114895,-0.012536663520412428,-0.28063507100418433,1.0363328821576403,0.5815415550275896,0.0,1.4434469431608994,-3.0,1.6718652606119949e-15,0.0
0.0,0.30434782608695654,0.25,0.0,6.879067499910187e-05,0.005361877537277476,-0.07182429508150932,0.0,4.671588906869181,1.3568565837557014,0.0,1.2260886749923146,-2.0,1.6718652606119949e-15,0.0
0.0,0.391304347826087,0.25,0.0,-0.4083949535990193,41.021971010572685,0.2472295652218187,-0.2630366133673958,2.0727404830140914,1.9641625137994165,0.0,0.9135966129320192,-3.0,-0.41830065359476504,0.0
0.0,0.4782608695652174,0.25,0.0,0.515125451274011,-36.379839244648174,-0.713917771629875,2.1212708031387097,0.0,0.7283292603407399,0.0,0.501126407290612,-1.0,0.5228758169934671,0.0
