Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature (C),Average Unmet Cooling Setpoint Difference (C),Indoor Relative Humidity (%),Equipment Electric Power (kWh),DHW Heating (kWh),Cooling Load (kWh),Heating Load (kWh),Solar Generation (W/kW),Occupant Count (people),Temperature Set Point (C),HVAC Mode (Off/Cooling/Heating),kg_CO2/kWh
0.0,-1.0,0.25,0.0,-0.6370339393290946,-194.51147034374887,0.5379731748359174,-0.2775549465708508,0.2547810471930843,-0.8805035871654908,0.0,-0.0848889500432468,0.0,-0.5751633986928065,0.0,-0.8375037981337353
0.0,-0.9130434782608696,0.25,0.0,-1.0460088714850406,19.695753415606223,1.0169645086664778,-0.3452676086858035,0.7290749796499278,-0.7201896343228121,0.0,-0.0848889500432468,0.0,-1.0457516339869208,0.0,-1.130547697810676
0.0,-0.8260869565217391,0.25,0.0,-1.0515389462953415,1.308747598357833,1.0362746646598062,-0.3815918103508873,0.2608308613491321,-0.7253436552555758,0.0,-0.0848889500432468,0.0,-1.0457516339869226,0.0,-1.324786924667994
0.0,-0.7391304347826086,0.25,0.0,-1.0519223148846275,0.0340812108034732,1.0766811967420564,-0.404119579074815,0.0,-0.7807133372904802,0.0,-0.0848889500432468,0.0,-1.0457516339869226,0.0,-1.3608042459024752
0.0,-0.6521739130434783,0.25,0.0,-1.0519291902017054,0.0112213943564454,1.1326091430772025,-0.3249512983058898,0.0,-0.8602654635591317,0.0,-0.0848889500432468,0.0,-1.0457516339869226,0.0,-1.2571955984661942
0.0,-0.5652173913043478,0.25,0.0,-1.0519286904602223,0.012882990237103,1.2377856937420626,-0.3348106006703592,1.5320792546525228,-0.7814579020666779,0.0,-0.0848889500432468,0.0,-1.0457516339869226,0.0,-1.0924928185877731
0.0,-0.4782608695652174,0.25,0.0,-1.0519314504724473,0.0037061956099927,1.2662009973529522,0.0203840491306697,4.1446989739563085,-0.825730559638846,0.0,-0.0248663623107809,-1.0,-1.0457516339869226,0.0,-0.9418550684864596
0.0,-0.391304347826087,0.25,0.0,-0.9997043232046936,-1.236019708439945,1.248626945416705,-0.0145990781619815,0.0,-0.7888018959066668,0.0,0.1314522532205361,-1.0,-0.9934640522875748,0.0,-0.7092271995628779
0.0,-0.3043478260869565,0.25,0.0,-0.7917668000993007,-9.423365110824044,0.978496524764548,0.2749778318630463,15.168315907699489,0.4488637809841942,0.0,0.4410804729423634,-1.0,-0.7843137254901873,0.0,-0.3898481552307942
0.0,-0.217391304347826,0.25,0.0,-0.5574383786419685,-104.753594632389,0.7037192887551291,-0.0251739994851892,0.9855722318704836,-0.2676403614758866,0.0,0.8668059647146422,-2.0,-0.5228758169934621,0.0,-0.4539761191021761
0.0,-0.1304347826086956,0.25,0.0,-0.0177136792544961,-59.11976558539249,0.1287826868967798,-0.0386759841895507,0.0,-0.6359224683836144,0.0,1.2536650554111626,-2.0,-8.359326303059974e-15,0.0,-0.0244687173779931
0.0,-0.0434782608695652,0.25,0.0,4.2771323887044725e-06,-0.209139901166662,0.1014403351160039,-0.0331476383038291,7.578624279801124,0.0793045851959171,0.0,1.5001432188154642,-2.0,-3.3437305212239898e-15,0.0,0.4161794870232068
0.0,0.0434782608695652,0.25,0.0,6.685301185704398e-05,-0.0010806796895447,0.0759995638583855,-0.0116913681904493,1.0363647567861347,0.002464012515482,0.0,1.5353711528333305,-2.0,0.0,0.0,0.4761959828620274
0.0,0.1304347826086956,0.25,0.0,6.716993590641333e-05,-2.6935480225393528e-05,0.0348086681802279,-0.28161343395903,0.0,0.2131111708837668,0.0,1.5433319723038517,-3.0,1.6718652606119949e-15,0.0,0.4188308043819694
0.0,0.217391304347826,0.25,0.0,7.055402499676936e-05,0.0112248591021148,-0.0125366635204124,-0.2806350710041843,1.0363328821576403,0.5815415550275896,0.0,1.4434469431608994,-3.0,1.6718652606119949e-15,0.0,0.3018139275889115
